Date,carat,depth,table,price,x,y,z,cut,color,clarity
17-03-06,0.32,60.9,55,404,4.45,4.48,2.72,Ideal,I,SI1
20-03-06,0.22,61.6,58,404,3.93,3.89,2.41,Premium,E,VS2
21-03-06,0.22,59.3,62,404,3.91,3.88,2.31,Premium,D,VS2
22-03-06,0.3,61,59,405,4.3,4.33,2.63,Ideal,I,SI2
23-03-06,0.3,59.3,61,405,4.43,4.38,2.61,Premium,J,SI2
24-03-06,0.3,62.6,57,405,4.25,4.28,2.67,Very Good,I,SI1
27-03-06,0.3,63,57,405,4.28,4.32,2.71,Very Good,I,SI1
28-03-06,0.3,63.2,55,405,4.25,4.29,2.7,Good,I,SI1
29-03-06,0.35,60.9,57,552,4.54,4.59,2.78,Ideal,I,VS1
30-03-06,0.3,62.6,59,552,4.23,4.27,2.66,Premium,D,SI1
31-03-06,0.3,62.5,57,552,4.29,4.32,2.69,Ideal,D,SI1
03-04-06,0.3,62.1,56,552,4.3,4.33,2.68,Ideal,D,SI1
04-04-06,0.42,61.5,59,552,4.78,4.84,2.96,Premium,I,SI2
05-04-06,0.28,61.4,56,553,4.19,4.22,2.58,Ideal,G,VVS2
06-04-06,0.32,62,55.3,553,4.39,4.42,2.73,Ideal,I,VVS1
07-04-06,0.31,63.3,57,553,4.33,4.3,2.73,Very Good,G,SI1
10-04-06,0.31,61.8,58,553,4.35,4.32,2.68,Premium,G,SI1
11-04-06,0.24,60.7,58,553,4.01,4.03,2.44,Premium,E,VVS1
12-04-06,0.24,61.5,60,553,3.97,4,2.45,Very Good,D,VVS1
13-04-06,0.3,63.1,56,554,4.29,4.27,2.7,Very Good,H,SI1
17-04-06,0.3,62.9,59,554,4.28,4.24,2.68,Premium,H,SI1
18-04-06,0.3,62.5,57,554,4.29,4.25,2.67,Premium,H,SI1
19-04-06,0.3,63.7,57,554,4.28,4.26,2.72,Good,H,SI1
20-04-06,0.26,59.2,60,554,4.19,4.22,2.49,Very Good,F,VVS2
21-04-06,0.26,59.9,58,554,4.15,4.23,2.51,Very Good,E,VVS2
24-04-06,0.26,62.4,54,554,4.08,4.13,2.56,Very Good,D,VVS2
25-04-06,0.26,62.8,60,554,4.01,4.05,2.53,Very Good,D,VVS2
26-04-06,0.26,62.6,59,554,4.06,4.09,2.55,Very Good,E,VVS1
27-04-06,0.26,63.4,59,554,4,4.04,2.55,Very Good,E,VVS1
28-04-06,0.26,62.1,60,554,4.03,4.12,2.53,Very Good,D,VVS1
01-05-06,0.26,62.9,58,554,4.02,4.06,2.54,Ideal,E,VVS2
02-05-06,0.38,61.6,56,554,4.65,4.67,2.87,Ideal,I,SI2
03-05-06,0.26,57.9,60,554,4.22,4.25,2.45,Good,E,VVS1
04-05-06,0.24,62.3,59,554,3.95,3.92,2.45,Premium,G,VVS1
05-05-06,0.24,61.2,58,554,4.01,3.96,2.44,Premium,H,VVS1
08-05-06,0.24,60.8,59,554,4.02,4,2.44,Premium,H,VVS1
09-05-06,0.24,60.7,58,554,4.07,4.04,2.46,Premium,H,VVS2
10-05-06,0.32,62.9,58,554,4.35,4.33,2.73,Premium,I,SI1
11-05-06,0.7,62.5,57,2757,5.7,5.72,3.57,Ideal,E,SI1
12-05-06,0.86,55.1,69,2757,6.45,6.33,3.52,Fair,E,SI2
15-05-06,0.7,61.6,56,2757,5.7,5.67,3.5,Ideal,G,VS2
16-05-06,0.71,62.4,57,2759,5.68,5.73,3.56,Very Good,E,VS2
17-05-06,0.78,63.8,56,2759,5.81,5.85,3.72,Very Good,G,SI2
18-05-06,0.7,57.5,58,2759,5.85,5.9,3.38,Good,E,VS2
19-05-06,0.7,59.4,62,2759,5.71,5.76,3.4,Good,F,VS1
22-05-06,0.96,66.3,62,2759,6.27,5.95,4.07,Fair,F,SI2
23-05-06,0.73,61.6,59,2760,5.77,5.78,3.56,Very Good,E,SI1
24-05-06,0.8,61.5,58,2760,5.97,5.93,3.66,Premium,H,SI1
25-05-06,0.75,63.2,56,2760,5.8,5.75,3.65,Very Good,D,SI1
26-05-06,0.75,59.9,54,2760,6,5.96,3.58,Premium,E,SI1
30-05-06,0.74,61.6,55,2760,5.8,5.85,3.59,Ideal,G,SI1
31-05-06,0.75,61.7,58,2760,5.85,5.79,3.59,Premium,G,VS2
01-06-06,0.8,62.9,56,2760,5.94,5.87,3.72,Ideal,I,VS1
02-06-06,0.75,62.2,55,2760,5.87,5.8,3.63,Ideal,G,SI1
05-06-06,0.8,63,59,2760,5.9,5.81,3.69,Premium,G,SI1
06-06-06,0.74,62.3,55,2761,5.77,5.81,3.61,Ideal,I,VVS2
07-06-06,0.81,58.8,57,2761,6.14,6.11,3.6,Ideal,F,SI2
08-06-06,0.59,62,55,2761,5.38,5.43,3.35,Ideal,E,VVS2
09-06-06,0.8,61.4,57,2761,5.96,6,3.67,Ideal,F,SI2
12-06-06,0.74,62.2,56,2761,5.8,5.84,3.62,Ideal,E,SI2
13-06-06,0.9,63,58,2761,6.16,6.12,3.87,Premium,I,VS2
14-06-06,0.74,62.2,59,2762,5.73,5.82,3.59,Very Good,G,SI1
15-06-06,0.73,62.6,56,2762,5.77,5.74,3.6,Ideal,F,VS2
16-06-06,0.73,62.7,53,2762,5.8,5.75,3.62,Ideal,F,VS2
19-06-06,0.8,61.7,58,2762,5.98,5.94,3.68,Premium,F,SI2
20-06-06,0.71,62.4,54,2762,5.72,5.76,3.58,Ideal,G,VS2
21-06-06,0.7,60.7,58,2762,5.73,5.76,3.49,Ideal,E,VS2
22-06-06,0.8,59.9,59,2762,6.01,6.07,3.62,Ideal,F,SI2
23-06-06,0.71,62.3,56,2762,5.73,5.69,3.56,Ideal,D,SI2
26-06-06,0.74,62.3,54,2762,5.8,5.83,3.62,Ideal,E,SI1
27-06-06,0.7,61.7,63,2762,5.64,5.61,3.47,Very Good,F,VS2
28-06-06,0.7,64.5,57,2762,5.57,5.53,3.58,Fair,F,VS2
29-06-06,0.7,65.3,55,2762,5.63,5.58,3.66,Fair,F,VS2
30-06-06,0.7,61.6,60,2762,5.65,5.59,3.46,Premium,F,VS2
03-07-06,0.91,61.4,56,2763,6.09,5.97,3.7,Premium,H,SI1
05-07-06,0.61,59.6,57,2763,5.56,5.58,3.32,Very Good,D,VVS2
06-07-06,0.91,64.4,57,2763,6.11,6.09,3.93,Fair,H,SI2
07-07-06,0.91,65.7,60,2763,6.03,5.99,3.95,Fair,H,SI2
10-07-06,0.77,62,56,2763,5.89,5.86,3.64,Ideal,H,VS2
11-07-06,0.71,63.6,58,2764,5.64,5.68,3.6,Very Good,D,SI1
12-07-06,0.71,61.9,59,2764,5.69,5.72,3.53,Ideal,D,SI1
13-07-06,0.7,62.6,60,2765,5.62,5.65,3.53,Very Good,E,VS2
14-07-06,0.77,61.3,60,2765,5.88,5.9,3.61,Very Good,H,VS1
17-07-06,0.63,60.9,60,2765,5.52,5.55,3.37,Premium,E,VVS1
18-07-06,0.71,60.1,62,2765,5.74,5.77,3.46,Very Good,F,VS1
19-07-06,0.71,61.8,59,2765,5.69,5.73,3.53,Premium,F,VS1
20-07-06,0.76,61.2,57,2765,5.88,5.91,3.61,Ideal,H,SI1
21-07-06,0.64,61.9,56,2766,5.53,5.56,3.43,Ideal,G,VVS1
24-07-06,0.71,60.9,57,2766,5.78,5.75,3.51,Premium,G,VS2
25-07-06,0.71,59.8,56,2766,5.89,5.81,3.5,Premium,G,VS2
26-07-06,0.7,61.8,55,2767,5.68,5.72,3.52,Very Good,D,VS2
27-07-06,0.7,60,57,2767,5.8,5.87,3.5,Very Good,F,VS1
28-07-06,0.71,61.6,55,2767,5.74,5.76,3.54,Ideal,D,SI2
31-07-06,0.7,62.1,64,2767,5.62,5.65,3.5,Good,H,VVS2
01-08-06,0.71,63.3,59,2768,5.52,5.61,3.52,Very Good,G,VS1
02-08-06,0.73,60.2,56,2768,5.83,5.87,3.52,Very Good,D,SI1
03-08-06,0.7,61.1,58,2768,5.66,5.73,3.48,Very Good,D,SI1
04-08-06,0.7,60.9,57,2768,5.73,5.76,3.5,Ideal,E,SI1
07-08-06,0.71,61.7,59,2768,5.71,5.67,3.51,Premium,D,SI2
08-08-06,0.74,61.3,56,2769,5.82,5.86,3.57,Ideal,I,SI1
09-08-06,0.71,62.5,60,2770,5.65,5.61,3.52,Premium,D,VS2
10-08-06,0.73,61.4,59,2770,5.83,5.76,3.56,Premium,G,VS2
11-08-06,0.76,62.9,57,2770,5.79,5.81,3.65,Very Good,F,SI1
14-08-06,0.76,62.4,57,2770,5.78,5.83,3.62,Ideal,D,SI2
15-08-06,0.71,60.7,56,2770,5.77,5.8,3.51,Ideal,F,SI1
16-08-06,0.73,60.7,58,2770,5.87,5.82,3.55,Premium,G,VS2
17-08-06,0.73,61.5,58,2770,5.79,5.75,3.55,Premium,G,VS1
18-08-06,0.73,59.9,57,2770,5.92,5.89,3.54,Ideal,D,SI2
21-08-06,0.73,59.2,59,2770,5.92,5.87,3.49,Premium,G,VS2
22-08-06,0.72,60.3,56,2771,5.81,5.83,3.51,Very Good,H,VVS2
23-08-06,0.73,61.7,60,2771,5.79,5.82,3.58,Very Good,F,SI1
24-08-06,0.71,61.9,57,2771,5.73,5.77,3.56,Ideal,G,VS2
25-08-06,0.79,61.9,55,2771,5.97,5.92,3.68,Ideal,F,SI2
28-08-06,0.73,60.4,59,2772,5.83,5.89,3.54,Very Good,H,VVS1
29-08-06,0.8,61,57,2772,6.01,6.03,3.67,Very Good,F,SI2
30-08-06,0.58,61.5,55,2772,5.39,5.44,3.33,Ideal,G,VVS1
31-08-06,0.58,61.7,56,2772,5.33,5.37,3.3,Ideal,F,VVS1
01-09-06,0.71,59.2,61,2772,5.8,5.88,3.46,Good,E,VS2
05-09-06,0.75,61.3,56,2773,5.85,5.89,3.6,Ideal,D,SI2
06-09-06,0.7,58,62,2773,5.87,5.78,3.38,Premium,D,VS2
07-09-06,1.17,60.2,61,2774,6.83,6.9,4.13,Very Good,J,I1
08-09-06,0.6,61.7,55,2774,5.41,5.44,3.35,Ideal,E,VS1
11-09-06,0.7,62.7,55,2774,5.68,5.74,3.58,Ideal,E,SI1
12-09-06,0.83,64.6,54,2774,5.85,5.88,3.79,Good,I,VS2
13-09-06,0.74,61.3,61,2775,5.8,5.84,3.57,Very Good,F,VS2
14-09-06,0.72,63.7,56.4,2776,5.62,5.69,3.61,Very Good,G,VS2
15-09-06,0.71,62.7,58,2776,5.74,5.68,3.58,Premium,E,VS2
18-09-06,0.71,62.2,57,2776,5.79,5.62,3.55,Ideal,E,VS2
19-09-06,0.54,61.6,56,2776,5.25,5.27,3.24,Ideal,E,VVS2
20-09-06,0.54,61.5,57,2776,5.24,5.26,3.23,Ideal,E,VVS2
21-09-06,0.72,61.8,56,2776,5.72,5.75,3.55,Ideal,G,SI1
22-09-06,0.72,60.7,56,2776,5.79,5.82,3.53,Ideal,G,SI1
25-09-06,0.72,59.7,60.5,2776,5.8,5.84,3.47,Good,G,VS2
26-09-06,0.71,60.5,56,2776,5.8,5.76,3.5,Ideal,G,SI1
27-09-06,0.7,62.7,58,2777,5.66,5.73,3.57,Very Good,D,VS1
28-09-06,0.71,62.1,58,2777,5.67,5.7,3.53,Premium,F,VS2
29-09-06,0.71,62.8,57,2777,5.64,5.69,3.56,Very Good,F,VS2
02-10-06,0.71,63.8,58,2777,5.61,5.64,3.59,Good,F,VS2
03-10-06,0.71,57.8,60,2777,5.87,5.9,3.4,Good,F,VS2
04-10-06,0.7,62.1,55,2777,5.7,5.67,3.53,Ideal,E,VS2
05-10-06,0.7,61.1,60,2777,5.71,5.64,3.47,Premium,E,VS2
06-10-06,0.7,60,59,2777,5.79,5.75,3.46,Premium,E,SI1
09-10-06,0.7,61.2,57,2777,5.73,5.68,3.49,Premium,E,SI1
10-10-06,0.7,62.7,59,2777,5.67,5.63,3.54,Premium,E,SI1
11-10-06,0.7,61,57,2777,5.73,5.68,3.48,Premium,E,SI1
12-10-06,0.7,61,58,2777,5.78,5.72,3.51,Premium,E,SI1
13-10-06,0.7,61.4,57,2777,5.76,5.7,3.52,Ideal,E,SI1
16-10-06,0.72,61.8,61,2777,5.82,5.71,3.56,Premium,F,SI1
17-10-06,0.7,59.9,63,2777,5.76,5.7,3.43,Very Good,E,SI1
18-10-06,0.7,61.3,58,2777,5.71,5.68,3.49,Premium,E,SI1
19-10-06,0.7,60.5,58,2777,5.77,5.74,3.48,Premium,E,SI1
20-10-06,0.7,64.1,59,2777,5.64,5.59,3.6,Good,E,VS2
23-10-06,0.98,67.9,60,2777,6.05,5.97,4.08,Fair,H,SI2
24-10-06,0.78,62.4,58,2777,5.83,5.8,3.63,Premium,F,SI1
25-10-06,0.7,63.2,60,2777,5.6,5.51,3.51,Very Good,E,SI1
26-10-06,0.52,61.3,55,2778,5.19,5.22,3.19,Ideal,F,VVS1
27-10-06,0.73,60.8,56,2779,5.82,5.84,3.55,Very Good,H,VS2
30-10-06,0.74,61.7,56,2779,5.84,5.8,3.59,Ideal,E,SI1
31-10-06,0.7,63.6,57,2780,5.61,5.65,3.58,Very Good,F,VS2
01-11-06,0.77,61.2,58,2780,5.9,5.93,3.62,Premium,G,VS2
02-11-06,0.71,62.1,54,2780,5.68,5.72,3.54,Ideal,F,VS2
03-11-06,0.74,61.5,55,2780,5.81,5.86,3.59,Ideal,G,VS1
06-11-06,0.7,61.4,59,2780,5.64,5.73,3.49,Ideal,G,VS1
07-11-06,1.01,61.8,60,2781,6.39,6.36,3.94,Premium,F,I1
08-11-06,0.77,62.2,56,2781,5.83,5.88,3.64,Ideal,H,SI1
09-11-06,0.78,61.2,56,2781,5.92,5.99,3.64,Ideal,H,SI1
10-11-06,0.72,60.6,63,2782,5.83,5.76,3.51,Very Good,H,VS1
13-11-06,0.53,57.5,64,2782,5.34,5.37,3.08,Very Good,D,VVS2
14-11-06,0.76,61.3,56,2782,5.9,5.94,3.63,Ideal,G,VS2
15-11-06,0.7,57.2,62,2782,5.81,5.77,3.31,Good,E,VS1
16-11-06,0.7,62.9,60,2782,5.62,5.54,3.51,Premium,E,VS1
17-11-06,0.75,63.1,58,2782,5.78,5.73,3.63,Very Good,D,SI2
20-11-06,0.72,60.8,57,2782,5.76,5.75,3.5,Ideal,D,SI1
21-11-06,0.72,62.7,59,2782,5.73,5.69,3.58,Premium,D,SI1
22-11-06,0.7,62.8,60,2782,5.68,5.66,3.56,Premium,D,SI1
24-11-06,0.84,55.1,67,2782,6.39,6.2,3.47,Fair,G,SI1
27-11-06,0.75,61.4,59,2782,5.88,5.85,3.6,Premium,F,SI1
28-11-06,0.52,62.2,55,2783,5.14,5.18,3.21,Ideal,F,IF
29-11-06,0.72,63,54,2784,5.69,5.73,3.6,Very Good,F,VS2
30-11-06,0.79,63.7,56,2784,5.85,5.92,3.75,Very Good,H,VS1
01-12-06,0.72,63.6,58,2787,5.66,5.69,3.61,Very Good,F,VS2
04-12-06,0.51,62,57,2787,5.11,5.15,3.18,Ideal,F,VVS1
05-12-06,0.64,61.5,56,2787,5.54,5.55,3.41,Ideal,D,VS1
06-12-06,0.7,60.5,60,2788,5.74,5.77,3.48,Very Good,H,VVS1
07-12-06,0.83,61.1,60,2788,6.07,6.1,3.72,Very Good,I,VS1
08-12-06,0.76,61.8,56,2788,5.85,5.87,3.62,Ideal,I,VVS2
11-12-06,0.71,63.3,56,2788,5.64,5.68,3.58,Good,D,VS2
12-12-06,0.77,59.4,64,2788,5.97,5.92,3.53,Good,G,VS1
13-12-06,0.71,62.5,55,2788,5.71,5.65,3.55,Ideal,F,SI1
14-12-06,1.01,64.5,58,2788,6.29,6.21,4.03,Fair,E,I1
15-12-06,1.01,62.7,59,2788,6.31,6.22,3.93,Premium,H,SI2
18-12-06,0.77,64.2,52,2789,5.81,5.77,3.72,Good,F,SI1
19-12-06,0.76,63.7,54,2789,5.76,5.85,3.7,Good,E,SI1
20-12-06,0.76,60.4,58,2789,5.92,5.94,3.58,Premium,E,SI1
21-12-06,0.76,61.8,58,2789,5.82,5.86,3.61,Premium,E,SI1
22-12-06,1.05,63.2,56,2789,6.49,6.45,4.09,Very Good,J,SI2
26-12-06,0.81,61.6,56,2789,5.97,6.01,3.69,Ideal,G,SI2
27-12-06,0.7,61.6,56,2789,5.72,5.75,3.53,Ideal,E,SI1
28-12-06,0.55,60.9,57,2789,5.28,5.3,3.22,Ideal,G,IF
29-12-06,0.81,61,61,2789,5.94,5.99,3.64,Good,G,SI2
03-01-07,0.63,62.1,57,2789,5.48,5.41,3.38,Premium,E,VVS2
04-01-07,0.63,60.9,60,2789,5.55,5.52,3.37,Premium,E,VVS1
05-01-07,0.77,61.3,60,2789,5.9,5.88,3.61,Premium,H,VS1
08-01-07,1.05,65.8,59,2789,6.41,6.27,4.18,Fair,J,SI2
09-01-07,0.64,61.3,56,2790,5.54,5.58,3.41,Ideal,G,IF
10-01-07,0.76,58.8,59,2790,6,5.94,3.51,Premium,I,VVS1
11-01-07,0.83,62.3,55,2790,6.02,6.05,3.76,Ideal,F,SI2
12-01-07,0.71,60.1,62,2790,5.77,5.74,3.46,Premium,F,VS1
16-01-07,0.71,61.8,59,2790,5.73,5.69,3.53,Premium,F,VS1
17-01-07,0.87,63.6,55.8,2791,6.07,6.1,3.87,Very Good,I,SI1
18-01-07,0.73,62.2,56,2791,5.74,5.78,3.58,Ideal,E,SI1
19-01-07,0.71,59.2,59,2792,5.83,5.86,3.46,Premium,E,SI1
22-01-07,0.71,61.8,59,2792,5.7,5.75,3.54,Premium,E,SI1
23-01-07,0.71,61.3,55,2792,5.72,5.77,3.52,Ideal,E,SI1
24-01-07,0.7,62.1,60,2792,5.71,5.65,3.53,Premium,F,VS1
25-01-07,0.7,60.7,60,2792,5.78,5.75,3.5,Premium,F,VS1
26-01-07,0.76,59.6,57,2792,5.91,5.86,3.51,Premium,H,VVS2
29-01-07,0.7,62.2,56,2792,5.73,5.68,3.55,Ideal,F,VS1
30-01-07,0.79,60.6,57,2793,5.98,6.06,3.65,Very Good,G,SI1
31-01-07,0.7,62.9,57,2793,5.66,5.69,3.57,Very Good,E,VS2
01-02-07,0.7,64.1,55,2793,5.6,5.66,3.61,Good,E,VS2
02-02-07,0.76,61.3,56,2793,5.87,5.91,3.61,Ideal,I,VS2
05-02-07,0.73,62.7,55,2793,5.72,5.76,3.6,Ideal,H,VS2
06-02-07,0.79,63.2,56,2794,5.91,5.86,3.72,Very Good,E,SI1
07-02-07,0.71,60.7,56,2795,5.81,5.82,3.53,Very Good,E,VS2
08-02-07,0.81,61.9,60,2795,5.91,5.86,3.64,Premium,I,VVS2
09-02-07,0.81,62.6,55,2795,5.92,5.96,3.72,Ideal,F,SI2
12-02-07,0.72,60.7,60,2795,5.74,5.72,3.48,Good,F,VS1
13-02-07,0.72,62,60,2795,5.73,5.69,3.54,Premium,D,SI2
14-02-07,0.72,63,57,2795,5.72,5.7,3.6,Premium,I,IF
15-02-07,0.81,58,59,2795,6.17,6.13,3.57,Premium,H,VS2
16-02-07,0.72,62.9,57,2795,5.73,5.65,3.58,Premium,G,VS2
20-02-07,1,58.2,60,2795,6.61,6.55,3.83,Premium,I,SI2
21-02-07,0.73,63.2,58,2796,5.7,5.76,3.62,Good,E,SI1
22-02-07,0.81,61.3,59,2797,5.94,6.01,3.66,Very Good,H,SI2
23-02-07,0.81,60.3,60,2797,6.07,6.1,3.67,Very Good,E,SI1
26-02-07,0.71,62.7,60,2797,5.67,5.71,3.57,Premium,D,SI1
27-02-07,0.71,61.3,58,2797,5.73,5.75,3.52,Premium,D,SI1
28-02-07,0.71,61.6,60,2797,5.74,5.69,3.52,Premium,D,SI1
01-03-07,0.57,61.9,55,2797,5.34,5.35,3.31,Ideal,F,VVS2
02-03-07,0.51,61.7,56,2797,5.12,5.16,3.17,Ideal,D,VVS1
05-03-07,0.72,61.9,58,2797,5.72,5.75,3.55,Ideal,G,VS2
06-03-07,0.74,61.8,58,2797,5.77,5.81,3.58,Ideal,H,VS1
07-03-07,0.74,61.6,56,2797,5.81,5.82,3.58,Ideal,H,VS1
08-03-07,0.7,58.8,66,2797,5.81,5.9,3.44,Fair,G,VVS1
09-03-07,0.8,61,57,2797,6.03,6.01,3.67,Premium,F,SI2
12-03-07,1.01,67.4,60,2797,6.19,6.05,4.13,Fair,E,SI2
13-03-07,0.8,63.4,60,2797,5.92,5.82,3.72,Very Good,H,VS2
14-03-07,0.77,61.5,59,2798,5.87,5.91,3.62,Ideal,I,VS1
15-03-07,0.83,58,62,2799,6.19,6.25,3.61,Very Good,E,SI2
16-03-07,0.82,62.4,54,2799,5.97,6.02,3.74,Ideal,F,SI2
19-03-07,0.78,61.9,57,2799,5.91,5.86,3.64,Ideal,D,SI1
20-03-07,0.6,61.6,56,2800,5.43,5.46,3.35,Very Good,G,IF
21-03-07,0.9,62.2,59,2800,6.07,6.11,3.79,Good,I,SI2
22-03-07,0.7,62.2,58,2800,5.6,5.66,3.5,Premium,E,VS1
23-03-07,0.9,61.3,56,2800,6.17,6.23,3.8,Very Good,I,SI2
26-03-07,0.83,62.3,57,2800,5.99,6.08,3.76,Ideal,G,SI1
27-03-07,0.83,61.8,57,2800,6.03,6.07,3.74,Ideal,G,SI1
28-03-07,0.83,62.5,59,2800,5.95,6.02,3.74,Very Good,H,SI1
29-03-07,0.74,62.9,60,2800,5.74,5.68,3.59,Premium,G,VS1
30-03-07,0.79,61.8,59,2800,5.92,5.95,3.67,Ideal,I,VS1
02-04-07,0.61,62.3,56,2800,5.43,5.45,3.39,Ideal,G,IF
03-04-07,0.76,59,70,2800,5.89,5.8,3.46,Fair,G,VS1
04-04-07,0.96,60.7,55,2801,6.37,6.41,3.88,Ideal,F,I1
05-04-07,0.73,62.5,55,2801,5.8,5.76,3.61,Ideal,F,VS2
09-04-07,0.73,62.7,58,2801,5.76,5.7,3.59,Premium,F,VS2
10-04-07,0.75,60.4,57,2801,5.93,5.96,3.59,Ideal,H,SI1
11-04-07,0.71,62.1,58,2801,5.7,5.67,3.53,Premium,F,VS2
12-04-07,0.71,57.8,60,2801,5.9,5.87,3.4,Good,F,VS2
13-04-07,0.71,63.8,58,2801,5.64,5.61,3.59,Good,F,VS2
16-04-07,0.71,62.8,57,2801,5.69,5.64,3.56,Premium,F,VS2
17-04-07,1.04,62.2,58,2801,6.46,6.41,4,Premium,G,I1
18-04-07,1,62.3,58,2801,6.45,6.34,3.98,Premium,J,SI2
19-04-07,0.87,59.9,58,2802,6.19,6.23,3.72,Very Good,G,SI2
20-04-07,0.53,61.9,54,2802,5.22,5.25,3.24,Ideal,F,IF
23-04-07,0.72,63,55,2802,5.79,5.61,3.59,Premium,E,VS2
24-04-07,0.72,62.4,58,2802,5.83,5.7,3.6,Premium,F,VS1
25-04-07,0.7,62.9,58,2803,5.63,5.65,3.55,Very Good,F,VS2
26-04-07,0.74,63.5,56,2803,5.74,5.79,3.66,Very Good,E,SI1
27-04-07,0.71,61.3,56,2803,5.75,5.71,3.51,Ideal,G,VS2
30-04-07,0.73,60.6,54,2803,5.84,5.89,3.55,Ideal,E,SI1
01-05-07,0.7,65.1,58,2803,5.56,5.59,3.63,Good,G,VS1
02-05-07,0.71,62.6,58,2803,5.7,5.67,3.56,Premium,F,VS2
03-05-07,0.71,58,62,2803,5.85,5.81,3.38,Premium,F,VS2
04-05-07,0.71,62.4,61,2803,5.7,5.65,3.54,Premium,G,VS1
07-05-07,0.77,61.3,57,2803,5.93,5.88,3.62,Premium,G,VS2
08-05-07,0.71,59.9,60,2803,5.81,5.77,3.47,Premium,G,VS2
09-05-07,0.78,60.8,58,2803,6.03,5.95,3.64,Premium,G,VS2
